"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031220702","Census Tract 2207.02; Cook County; Illinois","523800","65309",
"1400000US17031220901","Census Tract 2209.01; Cook County; Illinois","522800","95642",
"1400000US17031220902","Census Tract 2209.02; Cook County; Illinois","493800","42505",
"1400000US17031221000","Census Tract 2210; Cook County; Illinois","450700","76696",
"1400000US17031221100","Census Tract 2211; Cook County; Illinois","382100","38889",
"1400000US17031221200","Census Tract 2212; Cook County; Illinois","633300","137432",
"1400000US17031221300","Census Tract 2213; Cook County; Illinois","746900","114015",
"1400000US17031221400","Census Tract 2214; Cook County; Illinois","673900","123901",
"1400000US17031221500","Census Tract 2215; Cook County; Illinois","681000","125868",
"1400000US17031221600","Census Tract 2216; Cook County; Illinois","869000","70936",
"1400000US17031222200","Census Tract 2222; Cook County; Illinois","894700","220857",
"1400000US17031222500","Census Tract 2225; Cook County; Illinois","610600","248460",
"1400000US17031222600","Census Tract 2226; Cook County; Illinois","485700","92482",
"1400000US17031222700","Census Tract 2227; Cook County; Illinois","414800","82363",
"1400000US17031222800","Census Tract 2228; Cook County; Illinois","599100","92643",
"1400000US17031222900","Census Tract 2229; Cook County; Illinois","440000","225395",
"1400000US17031230100","Census Tract 2301; Cook County; Illinois","684700","117872",
"1400000US17031230200","Census Tract 2302; Cook County; Illinois","486100","69166",
"1400000US17031230300","Census Tract 2303; Cook County; Illinois","512800","137050",
"1400000US17031230400","Census Tract 2304; Cook County; Illinois","419600","97070",
"1400000US17031230500","Census Tract 2305; Cook County; Illinois","376100","64656",
"1400000US17031230600","Census Tract 2306; Cook County; Illinois","283900","24925",
"1400000US17031230700","Census Tract 2307; Cook County; Illinois","358900","38120",
"1400000US17031230800","Census Tract 2308; Cook County; Illinois","335700","60028",
"1400000US17031230900","Census Tract 2309; Cook County; Illinois","455300","57141",
"1400000US17031231100","Census Tract 2311; Cook County; Illinois","293100","40339",
"1400000US17031231200","Census Tract 2312; Cook County; Illinois","230100","77485",
"1400000US17031231500","Census Tract 2315; Cook County; Illinois","307300","112307",
"1400000US17031240200","Census Tract 2402; Cook County; Illinois","788500","242654",
"1400000US17031240300","Census Tract 2403; Cook County; Illinois","903800","144315",
"1400000US17031240500","Census Tract 2405; Cook County; Illinois","545600","47436",
"1400000US17031240600","Census Tract 2406; Cook County; Illinois","602600","142229",
"1400000US17031240700","Census Tract 2407; Cook County; Illinois","581300","78162",
"1400000US17031240800","Census Tract 2408; Cook County; Illinois","663900","174389",
"1400000US17031240900","Census Tract 2409; Cook County; Illinois","460800","19120",
"1400000US17031241000","Census Tract 2410; Cook County; Illinois","411800","74668",
"1400000US17031241100","Census Tract 2411; Cook County; Illinois","516400","89894",
"1400000US17031241200","Census Tract 2412; Cook County; Illinois","575200","130552",
"1400000US17031241300","Census Tract 2413; Cook County; Illinois","616200","63822",
"1400000US17031241400","Census Tract 2414; Cook County; Illinois","698300","66352",
"1400000US17031241500","Census Tract 2415; Cook County; Illinois","718200","78777",
"1400000US17031241600","Census Tract 2416; Cook County; Illinois","545800","73883",
"1400000US17031242000","Census Tract 2420; Cook County; Illinois","611200","68816",
"1400000US17031242100","Census Tract 2421; Cook County; Illinois","646800","48886",
"1400000US17031242200","Census Tract 2422; Cook County; Illinois","679200","57555",
"1400000US17031242300","Census Tract 2423; Cook County; Illinois","545600","96996",
"1400000US17031242400","Census Tract 2424; Cook County; Illinois","628300","143465",
"1400000US17031242500","Census Tract 2425; Cook County; Illinois","601400","34485",
"1400000US17031242600","Census Tract 2426; Cook County; Illinois","582400","103348",
"1400000US17031242700","Census Tract 2427; Cook County; Illinois","554300","110592",
"1400000US17031242800","Census Tract 2428; Cook County; Illinois","671900","83606",
"1400000US17031242900","Census Tract 2429; Cook County; Illinois","492700","95183",
"1400000US17031243000","Census Tract 2430; Cook County; Illinois","479700","178322",
"1400000US17031243100","Census Tract 2431; Cook County; Illinois","780600","128848",
"1400000US17031243200","Census Tract 2432; Cook County; Illinois","665400","280988",
"1400000US17031243300","Census Tract 2433; Cook County; Illinois","664600","75579",
"1400000US17031243400","Census Tract 2434; Cook County; Illinois","462700","166258",
"1400000US17031243500","Census Tract 2435; Cook County; Illinois","601300","53974",
"1400000US17031250200","Census Tract 2502; Cook County; Illinois","276500","28533",
"1400000US17031250300","Census Tract 2503; Cook County; Illinois","299100","29490",
"1400000US17031250400","Census Tract 2504; Cook County; Illinois","257300","47365",
"1400000US17031250500","Census Tract 2505; Cook County; Illinois","333100","22990",
"1400000US17031250600","Census Tract 2506; Cook County; Illinois","265600","11918",
"1400000US17031250700","Census Tract 2507; Cook County; Illinois","239300","63999",
"1400000US17031250800","Census Tract 2508; Cook County; Illinois","268500","56935",
"1400000US17031251000","Census Tract 2510; Cook County; Illinois","242600","109569",
"1400000US17031251100","Census Tract 2511; Cook County; Illinois","239400","29020",
"1400000US17031251200","Census Tract 2512; Cook County; Illinois","242200","59581",
"1400000US17031251300","Census Tract 2513; Cook County; Illinois","271800","42645",
"1400000US17031251400","Census Tract 2514; Cook County; Illinois","315100","35118",
"1400000US17031251500","Census Tract 2515; Cook County; Illinois","241100","40976",
"1400000US17031251600","Census Tract 2516; Cook County; Illinois","206100","30929",
"1400000US17031251700","Census Tract 2517; Cook County; Illinois","244600","131280",
"1400000US17031251800","Census Tract 2518; Cook County; Illinois","266300","28665",
"1400000US17031251900","Census Tract 2519; Cook County; Illinois","233500","25806",
"1400000US17031252000","Census Tract 2520; Cook County; Illinois","245800","48274",
"1400000US17031252101","Census Tract 2521.01; Cook County; Illinois","244800","97726",
"1400000US17031252102","Census Tract 2521.02; Cook County; Illinois","197100","63937",
"1400000US17031252201","Census Tract 2522.01; Cook County; Illinois","239900","24365",
"1400000US17031252202","Census Tract 2522.02; Cook County; Illinois","257100","72512",
"1400000US17031260100","Census Tract 2601; Cook County; Illinois","325500","60524",
"1400000US17031260200","Census Tract 2602; Cook County; Illinois","162500","94388",
"1400000US17031260300","Census Tract 2603; Cook County; Illinois","242600","191355",
"1400000US17031260400","Census Tract 2604; Cook County; Illinois","161200","64142",
"1400000US17031260500","Census Tract 2605; Cook County; Illinois","217500","14009",
"1400000US17031260600","Census Tract 2606; Cook County; Illinois","189600","61937",
"1400000US17031260700","Census Tract 2607; Cook County; Illinois","242600","71399",
"1400000US17031260800","Census Tract 2608; Cook County; Illinois","205300","40059",
"1400000US17031260900","Census Tract 2609; Cook County; Illinois","245900","201332",
"1400000US17031261000","Census Tract 2610; Cook County; Illinois","175000","60718",
"1400000US17031270500","Census Tract 2705; Cook County; Illinois","165500","38079",
"1400000US17031271200","Census Tract 2712; Cook County; Illinois","303400","75378",
"1400000US17031271300","Census Tract 2713; Cook County; Illinois","414000","47476",
"1400000US17031271400","Census Tract 2714; Cook County; Illinois","212500","135190",
"1400000US17031271500","Census Tract 2715; Cook County; Illinois","273800","28278",
"1400000US17031271800","Census Tract 2718; Cook County; Illinois","237500","120211",
"1400000US17031280100","Census Tract 2801; Cook County; Illinois","428900","100041",
"1400000US17031280400","Census Tract 2804; Cook County; Illinois","344000","28505",
"1400000US17031280800","Census Tract 2808; Cook County; Illinois","370000","226427",
"1400000US17031280900","Census Tract 2809; Cook County; Illinois","351100","25731",
"1400000US17031281900","Census Tract 2819; Cook County; Illinois","396100","54725",
"1400000US17031282700","Census Tract 2827; Cook County; Illinois","319200","52586",
"1400000US17031282800","Census Tract 2828; Cook County; Illinois","404800","165582",
"1400000US17031283100","Census Tract 2831; Cook County; Illinois","465800","39518",
"1400000US17031283200","Census Tract 2832; Cook County; Illinois","441000","23042",
"1400000US17031283800","Census Tract 2838; Cook County; Illinois","398300","30819",
"1400000US17031290900","Census Tract 2909; Cook County; Illinois","222800","74813",
"1400000US17031291200","Census Tract 2912; Cook County; Illinois","243900","47471",
"1400000US17031291600","Census Tract 2916; Cook County; Illinois","373900","121297",
"1400000US17031292200","Census Tract 2922; Cook County; Illinois","244800","56888",
"1400000US17031292400","Census Tract 2924; Cook County; Illinois","255500","30108",
"1400000US17031292500","Census Tract 2925; Cook County; Illinois","239600","51675",
"1400000US17031300500","Census Tract 3005; Cook County; Illinois","225300","18803",
